DateTime,lp_value,validation_status,dayType,season
2020-12-28 15:00:00,1.818,VAL,Weekday,Winter
2022-12-31 06:00:00,0.289,VAL,Weekend,Winter
2022-12-31 16:00:00,2.229,VAL,Weekend,Winter
2020-12-28 02:00:00,0.109,VAL,Weekday,Winter
2020-12-28 12:00:00,0.256,VAL,Weekday,Winter
2021-01-03 03:00:00,0.251,VAL,Weekend,Winter
2022-12-31 03:00:00,0.036,VAL,Weekend,Winter
2021-01-03 00:00:00,0.448,VAL,Weekend,Winter
2022-12-31 13:00:00,0.194,VAL,Weekend,Winter
2022-12-31 23:00:00,0.032,VAL,Weekend,Winter
2022-12-31 00:00:00,0.067,VAL,Weekend,Winter
2020-12-27 07:00:00,1.538,VAL,Weekend,Winter
2020-12-27 12:00:00,0.732,VAL,Weekend,Winter
2021-01-02 23:00:00,0.245,VAL,Weekend,Winter
2021-01-02 15:00:00,2.466,VAL,Weekend,Winter
2022-12-31 20:00:00,0.278,VAL,Weekend,Winter
2021-01-02 18:00:00,0.64,VAL,Weekend,Winter
2022-12-30 06:00:00,0.045,VAL,Weekday,Winter
2021-01-02 20:00:00,0.739,VAL,Weekend,Winter
2022-12-31 19:00:00,1.242,VAL,Weekend,Winter
2022-12-30 23:00:00,0.074,VAL,Weekday,Winter
2020-12-28 08:00:00,0.365,VAL,Weekday,Winter
2022-12-30 15:00:00,0.847,VAL,Weekday,Winter
2022-12-30 20:00:00,0.104,VAL,Weekday,Winter
2020-12-28 05:00:00,0.275,VAL,Weekday,Winter
2022-12-30 18:00:00,0.713,VAL,Weekday,Winter
2020-12-28 10:00:00,1.109,VAL,Weekday,Winter
2021-01-02 12:00:00,0.091,VAL,Weekend,Winter
2021-01-02 19:00:00,0.781,VAL,Weekend,Winter
2022-12-31 11:00:00,0.419,VAL,Weekend,Winter
2022-12-31 21:00:00,0.034,VAL,Weekend,Winter
2021-01-02 09:00:00,1.276,VAL,Weekend,Winter
2022-12-30 12:00:00,1.936,VAL,Weekday,Winter
2020-12-27 18:00:00,1.784,VAL,Weekend,Winter
2021-01-03 05:00:00,0.187,VAL,Weekend,Winter
2022-12-31 18:00:00,0.655,VAL,Weekend,Winter
2022-12-30 19:00:00,0.086,VAL,Weekday,Winter
2020-12-28 14:00:00,1.763,VAL,Weekday,Winter
2020-12-28 04:00:00,0.024,VAL,Weekday,Winter
2022-12-30 08:00:00,0.099,VAL,Weekday,Winter
2022-12-31 10:00:00,0.301,VAL,Weekend,Winter
2020-12-27 17:00:00,2.652,VAL,Weekend,Winter
2020-12-27 22:00:00,1.38,VAL,Weekend,Winter
2021-01-02 13:00:00,2.335,VAL,Weekend,Winter
2022-12-31 05:00:00,0.579,VAL,Weekend,Winter
2022-12-31 22:00:00,0.226,VAL,Weekend,Winter
2020-12-28 03:00:00,0.18,VAL,Weekday,Winter
2022-12-31 17:00:00,1.665,VAL,Weekend,Winter
2022-12-30 13:00:00,0.468,VAL,Weekday,Winter
2021-01-03 06:00:00,0.55,VAL,Weekend,Winter
2020-12-27 11:00:00,1.082,VAL,Weekend,Winter
2022-12-30 07:00:00,0.097,VAL,Weekday,Winter
2022-12-30 17:00:00,0.377,VAL,Weekday,Winter
2020-12-27 13:00:00,1.014,VAL,Weekend,Winter
2020-12-27 23:00:00,0.443,VAL,Weekend,Winter
2021-01-02 14:00:00,2.771,VAL,Weekend,Winter
2020-12-28 09:00:00,1.268,VAL,Weekday,Winter
2021-01-02 11:00:00,0.42,VAL,Weekend,Winter
2021-01-02 21:00:00,0.689,VAL,Weekend,Winter
2020-12-28 11:00:00,0.861,VAL,Weekday,Winter
